CODLOCAL,CEN_EDU_L,CODCPSIG,NOMCPSIG,FUENTE_LOC,X_LONGITUD,Y_LATITUD,Fecha,VAL,NALT_LOCAL,CORD_YX
3716233,LA PLANICIE,550652,SAN JUAN DE LURIGANCHO,UBICACION_WEB_MED,-77.00778000000,-11.93732000000,11/16/2016,,504,-11.93732-77.00778
328149,SAN CRISTOBAL SALVADOR,550652,SAN JUAN DE LURIGANCHO,UBICACION_WEB_MED,-76.98744000000,-11.94044000000,11/23/2016,,366,-11.94044-76.98744
714881,CRISTIAN HUYGENS,550652,SAN JUAN DE LURIGANCHO,UBICACION_WEB_MED,-77.01223000000,-11.99251000000,11/16/2016,,222,-11.99251-77.01223
507928,VIRGEN MARIA INMACULADA,550652,SAN JUAN DE LURIGANCHO,UBICACION_WEB_MED,-77.00021000000,-11.99512000000,11/11/2016,,224,-11.99512-77.00021
802241,ANGELO PATRI DE CAMPOY,550652,SAN JUAN DE LURIGANCHO,UBICACION_WEB_MED,-76.96208000000,-12.00935000000,11/24/2016,,317,-12.00935-76.96208
742940,MI PEQUE├æO ANGELITO,550652,SAN JUAN DE LURIGANCHO,UBICACION_WEB_MED,-76.98775000000,-11.93617000000,11/14/2016,,391,-11.93617-76.98775
743483,NUEVA JERUSALEN,550652,SAN JUAN DE LURIGANCHO,UBICACION_WEB_MED,-77.00954000000,-11.95615000000,11/15/2016,,357,-11.95615-77.00954
749692,JUDAS TADEO SAIN,550652,SAN JUAN DE LURIGANCHO,UBICACION_WEB_MED,-76.99066000000,-11.95860000000,11/15/2016,,300,-11.9586-76.99066
753702,PEQUE├æOS GENIOS,550652,SAN JUAN DE LURIGANCHO,UBICACION_WEB_MED,-76.98814000000,-11.96729000000,11/16/2016,,281,-11.96729-76.98814
325787,MI JARDIN ABC,550652,SAN JUAN DE LURIGANCHO,UBICACION_WEB_MED,-77.00852000000,-12.00831000000,11/22/2016,,215,-12.00831-77.00852
715239,CEBA - CESAR VALLEJO MENDOZA,550652,SAN JUAN DE LURIGANCHO,UBICACION_WEB_MED,-77.00347000000,-11.98618000000,11/21/2016,,231,-11.98618-77.00347
566036,CEBA - MARISCAL CACERES,550652,SAN JUAN DE LURIGANCHO,UBICACION_WEB_MED,-76.98720000000,-11.95881000000,11/16/2016,,306,-11.95881-76.9872
812344,CEBA - FRANKLIN ROOSELVET,550652,SAN JUAN DE LURIGANCHO,UBICACION_WEB_MED,-76.99557000000,-12.02439000000,11/24/2016,,215,-12.02439-76.99557
085842,MARISCAL CACERES,550652,SAN JUAN DE LURIGANCHO,UBICACION_WEB_MED,-76.98720000000,-11.95881000000,11/16/2016,,306,-11.95881-76.9872
616041,MANANTIAL DE VIDA,550652,SAN JUAN DE LURIGANCHO,UBICACION_WEB_MED,-76.95370000000,-11.91875000000,11/23/2016,,599,-11.91875-76.9537
