UBIGEO,DEP,PROV,DIST,CODCP,NOMCP,MNOMCP,CAPITAL,CON_IE,NIVEL,CPINEI,CPINEI2,CPINEI_BKP,FUENTE_G,Z,XGD,YGD,Y_X_COORD
210102,PUNO,PUNO,ACORA,118469,Acora,ACORA,3,1,GIPSKL,2101020001,,2101020001,MED-GPS,3841,-69.79759401,-15.97357429,-85.7711683
210106,PUNO,PUNO,CHUCUITO,127937,Chucuito,CHUCUITO,3,1,GIPS,2101060001,,2101060001,MED-GPS,3882,-69.88990914,-15.89439666,-85.7843058
80804,CUSCO,ESPINAR,OCORURO,127496,Ocoruro,OCORURO,3,1,IPS,808040001,,808040001,MED-GPS,4101,-71.12898402,-15.05232454,-86.18130856
210214,PUNO,AZANGARO,SANTIAGO DE PUPUJA,122720,Santiago de Pupuja,SANTIAGO DE PUPUJA,3,1,IPS,2102140001,,2102140001,MED-GPS,3919,-70.27782389,-15.05304366,-85.33086755
110402,ICA,PALPA,LLIPATA,124122,Llipata,LLIPATA,3,1,GIPS,1104020001,,1104020001,MED-GPS,307,-75.20745565,-14.56329167,-89.77074732
210708,PUNO,LAMPA,PUCARA,122502,Pucara,PUCARA,3,1,IPSL,2107080001,,2107080001,MED-GPS,3884,-70.36806558,-15.04199002,-85.4100556
211003,PUNO,SAN ANTONIO DE PUTINA,PEDRO VILCA APAZA,128411,Ayrampuni,AYRAMPUNI,3,1,IPS,2110030001,,2110030001,MED-GPS,3856,-69.88112777,-15.06362516,-84.94475293
50619,AYACUCHO,LUCANAS,SANCOS,121214,Sancos,SANCOS,3,1,GIPS,506190001,,506190001,MED-GPS,2812,-73.95195302,-15.06260173,-89.01455475
210603,PUNO,HUANCANE,HUATASANI,110150,Huatasani,HUATASANI,3,1,IPS,2106030001,,2106030001,MED-GPS,3844,-69.80146564,-15.05955854,-84.86102418
50808,AYACUCHO,PAUCAR DEL SARA SARA,SAN JAVIER DE ALPABAMBA,118437,San Javier de Alpabamba,SAN JAVIER DE ALPABAMBA,3,1,GPS,508080001,,508080001,MED-GPS,2628,-73.32241334,-15.05660768,-88.37902102
210207,PUNO,AZANGARO,JOSE DOMINGO CHOQUEHUANCA,128672,Estacion de Pucara/jose Domingo Choquehuanca,ESTACION DE PUCARA/JOSE DOMINGO CHOQUEHUANCA,3,1,GIK,2102070001,,2102070001,MED-GPS,3888,-70.33818077,-15.03365053,-85.3718313
210602,PUNO,HUANCANE,COJATA,111146,Cojata,COJATA,3,1,IPS,2106020001,,2106020001,MED-GPS,4356,-69.365121,-15.01512967,-84.38025067
50707,AYACUCHO,PARINACOCHAS,SAN FRANCISCO DE RAVACAYCO,129548,San Francisco de Ravacayco,SAN FRANCISCO DE RAVACAYCO,3,1,IPS,507070001,,507070001,MED-GPS,2807,-73.35131924,-14.99699648,-88.34831572
210213,PUNO,AZANGARO,SAN JUAN DE SALINAS,237469,San Juan de Salinas,SAN JUAN DE SALINAS,3,1,GIPS,2102130001,,2102130001,MED-GPS,3840,-70.10573064,-14.99120504,-85.09693568
80807,CUSCO,ESPINAR,SUYCKUTAMBO,545335,Virginniyoc,VIRGINNIYOC,3,1,IPS,808070001,,808070001,MED-GPS,4089,-71.64416327,-15.00839878,-86.65256205
210604,PUNO,HUANCANE,INCHUPALLA,123936,Inchupalla,INCHUPALLA,3,1,IPS,2106040001,,2106040001,MED-GPS,3916,-69.68259163,-15.00950842,-84.69210005
210804,PUNO,MELGAR,LLALLI,112639,Llalli Antiguo,LLALLI ANTIGUO,3,1,IPS,2108040001,,2108040001,MED-GPS,4020,-70.88064088,-14.93285903,-85.81349991
50708,AYACUCHO,PARINACOCHAS,UPAHUACHO,117599,Upahuacho,UPAHUACHO,3,1,IPS,507080001,,507080001,MED-GPS,3324,-73.3977439,-14.90718012,-88.30492402
210803,PUNO,MELGAR,CUPI,126370,Cupi,CUPI,3,1,IPS,2108030001,,2108030001,MED-GPS,3979,-70.86665527,-14.90558402,-85.77223929
110112,ICA,ICA,SUBTANJALLA,124235,Subtanjalla,SUBTANJALLA,3,1,GIPS,1101120001,,1101120001,MED-GPS,429,-75.75836669,-14.01843938,-89.77680607
211004,PUNO,SAN ANTONIO DE PUTINA,QUILCAPUNCU,522851,Quilcapuncu,QUILCAPUNCU,3,1,GIPS,2110040001,,2110040001,MED-GPS,3911,-69.73027235,-14.89298248,-84.62325482
80808,CUSCO,ESPINAR,ALTO PICHIGUA,120743,Accocunca,ACCOCUNCA,3,1,IPS,808080001,,808080001,MED-GPS,3984,-71.25135751,-14.77797592,-86.02933343
210809,PUNO,MELGAR,UMACHIRI,115824,Umachiri,UMACHIRI,3,1,GIPS,2108090001,,2108090001,MED-GPS,3923,-70.75351127,-14.85355415,-85.60706542
110305,ICA,NASCA,VISTA ALEGRE,120364,Vista Alegre,VISTA ALEGRE,3,1,GIPSD,1103050001,,1103050001,MED-GPS,577,-74.94398727,-14.84521817,-89.78920544
80503,CUSCO,CANAS,KUNTURKANKI,119280,El Descanso,EL DESCANSO,3,1,GIPSKD,805030001,,805030001,MED-GPS,3947,-71.30686678,-14.53439967,-85.84126645
210805,PUNO,MELGAR,MACARI,125688,Macari,MACARI,3,1,GIPS,2108050001,,2108050001,MED-GPS,3968,-70.90278227,-14.77149841,-85.67428068
210204,PUNO,AZANGARO,ASILLO,132794,Asillo,ASILLO,3,1,IPSLED,2102040001,,2102040001,MED-GPS,3909,-70.35400327,-14.78659154,-85.14059481
