CODLOCAL,CEN_EDU_L,CODCPSIG,NOMCPSIG,FUENTE_LOC,X_LONGITUD,Y_LATITUD,Fecha,VAL,NALT_LOCAL,CORD_YX
354181,20884,111842,SAN FRANCISCO,MED_GPS,-76.40764881900,-13.00662527900,8/24/2016,,81,-13.006625279-76.407648819
352629,20212,131781,SAN JUAN DE IHUANCO,MED_GPS,-76.44845493400,-12.99756317300,8/24/2016,,49,-12.997563173-76.448454934
352993,20142,236221,CANTAGALLO,MED_GPS,-76.38578433100,-12.99584572600,8/23/2016,,104,-12.995845726-76.385784331
353898,20168,110738,RINCONADA DE CONTA,MED_GPS,-76.33741882100,-12.98973202200,8/25/2016,,166,-12.989732022-76.337418821
354100,20241,238746,CINCO ESQUINAS,MED_GPS,-76.38676652400,-12.97380829600,8/24/2016,,118,-12.973808296-76.386766524
354176,20245,211372,SAN JUAN DE ROLDAN,MED_GPS,-76.41895800100,-12.96063577600,8/24/2016,,137,-12.960635776-76.418958001
354162,20244,128171,BUENOS AIRES,MED_GPS,-76.34904076500,-12.95512742500,8/24/2016,,157,-12.955127425-76.349040765
354195,20964 VIRGEN DE FATIMA,128343,LOS ANGELES,MED_GPS,-76.36861699900,-12.95444402400,8/24/2016,,157,-12.954444024-76.368616999
353983,20954,246543,MARCALLA,MED_GPS,-76.22632223800,-12.84522062100,8/25/2016,,1046,-12.845220621-76.226322238
354299,20179 ALEJANDRO CAMACHO CUYA,117538,SAN ANTONIO,MED_GPS,-76.65380611200,-12.63594580000,8/29/2016,,78,-12.6359458-76.653806112
352912,20944,132188,UNCHOR,MED_GPS,-76.32975159400,-12.57574554700,8/30/2016,,1088,-12.575745547-76.329751594
357453,20890,682308,PULACAMA/SANTA CRUZ DE PULACAMA,MED_GPS,-76.49346011800,-12.39590996300,9/2/2016,,974,-12.395909963-76.493460118
358909,20611,513108,SAN PEDRO DE HUALLANCHI,MED_GPS,-76.49317096600,-12.23470637400,9/2/2016,,2042,-12.234706374-76.493170966
577577,SAN ANTONIO,117538,SAN ANTONIO,MED_GPS,-76.65438093800,-12.63644392800,8/29/2016,,73,-12.636443928-76.654380938
353092,ARTEMIO DOLORIER ABREGU,517049,HUACACHIVATO,MED_GPS,-76.34657446200,-13.06044246500,8/26/2016,,92,-13.060442465-76.346574462
760948,SANTA ROSA,654522,SANTA ROSA ALTA,MED_GPS,-76.38923881500,-13.09545027600,8/30/2016,,25,-13.095450276-76.389238815
352064,621,565795,VILLA EL CARMEN,MED_GPS,-76.37506774600,-13.06742170700,9/5/2016,,73,-13.067421707-76.375067746
760566,LA PRIMAVERA,683149,LA PRIMAVERA,MED_GPS,-76.34520703600,-13.05637596800,8/23/2016,,99,-13.056375968-76.345207036
730715,638,612180,LAS LOMAS,MED_GPS,-76.36270455100,-13.04493871000,8/23/2016,,110,-13.04493871-76.362704551
760967,LA INMACULADA - CASA BLANCA,530365,CASA BLANCA,MED_GPS,-76.45576024400,-13.03315827000,8/29/2016,,5,-13.03315827-76.455760244
353775,444,549840,CARMEN ALTO,MED_GPS,-76.32999910600,-13.03308315900,8/23/2016,,161,-13.033083159-76.329999106
795113,NUEVO CERRO AZUL,683155,NUEVO CERRO AZUL,MED_GPS,-76.47657573700,-13.02215723400,8/26/2016,,6,-13.022157234-76.476575737
354124,609,111842,SAN FRANCISCO,MED_GPS,-76.40764881900,-13.00662527900,8/24/2016,,81,-13.006625279-76.407648819
354096,463,246192,EL TIGRE,MED_GPS,-76.40574059500,-12.97437093100,8/24/2016,,112,-12.974370931-76.405740595
730254,606,220532,LA HUERTA,MED_GPS,-76.33584078100,-12.96457136400,8/24/2016,,178,-12.964571364-76.335840781
730720,639 SAN JOSE MARIA ESCRIVA BALAGUER,211372,SAN JUAN DE ROLDAN,MED_GPS,-76.41846136700,-12.96148374300,8/24/2016,,130,-12.961483743-76.418461367
353332,328,574303,LA PAQUIA,MED_GPS,-76.14073578700,-12.96146879700,8/23/2016,,480,-12.961468797-76.140735787
354223,619,573226,LAS FLORES,MED_GPS,-76.37997822400,-12.94284134200,8/24/2016,,172,-12.942841342-76.379978224
795127,SAN MARTINCITO,626086,PALMA ALTA,MED_GPS,-76.56762333000,-12.79012376900,8/29/2016,,24,-12.790123769-76.56762333
760769,LA RINCONADA,125887,LA RINCONADA,MED_GPS,-76.63421771200,-12.65050284200,8/29/2016,,48,-12.650502842-76.634217712
795132,NI├æO JESUS DE PRAGA,117538,SAN ANTONIO,MED_GPS,-76.65380611200,-12.63594580000,8/29/2016,,78,-12.6359458-76.653806112
760868,SAN JOSE,683159,SAN JOSE,MED_GPS,-76.72946214400,-12.51535853200,8/31/2016,,24,-12.515358532-76.729462144
730372,636,133007,SANTA CRUZ DE COMALIPA,MED_GPS,-76.48763340300,-12.26526473800,9/2/2016,,1586,-12.265264738-76.487633403
358886,616,121896,SANTA CRUZ DE PIEDRA GRANDE,MED_GPS,-76.47605534600,-12.25780323300,9/2/2016,,1757,-12.257803233-76.476055346
358872,600,513108,SAN PEDRO DE HUALLANCHI,MED_GPS,-76.49419466900,-12.23286922100,9/2/2016,,2118,-12.232869221-76.494194669
518597,CEBA - PRONEPA 01,683152,LOS ANGELES,MED_GPS,-76.42778765100,-13.05027326300,8/26/2016,,46,-13.050273263-76.427787651
0141617,URBANITO CRUZ,654975,URBANITO CRUZ,MED_GPS,-76.36288558100,-13.12371443400,9/5/2016,,47,-13.123714434-76.362885581
0141612,SAN PEDRO,515890,FUNDO SAN PEDRO,MED_GPS,-76.36295702000,-13.11742922400,8/30/2016,,48,-13.117429224-76.36295702
0141613,LAS ESTRELLITAS,654094,CERRO LAGUNA,MED_GPS,-76.35654556200,-13.09282087800,9/5/2016,,70,-13.092820878-76.356545562
362138,083 SE├æOR DE LOS MILAGROS,131634,YAUYOS,MED_GPS,-75.91821262100,-12.45922955900,7/7/2016,,2882,-12.459229559-75.918212621
362421,406 SE├æOR DE LA ASCENSION DE CACHUY,123462,AYAVIRI,MED_GPS,-76.13655890100,-12.38269955700,7/12/2016,,3247,-12.382699557-76.136558901
363473,409,123536,QUINCHES,MED_GPS,-76.14432845400,-12.30632585100,7/11/2016,,2945,-12.306325851-76.144328454
363171,407,118204,HUA├æEC,MED_GPS,-76.13858621300,-12.29373957100,7/11/2016,,3200,-12.293739571-76.138586213
363699,TAURIPAMPA,114877,TAURIPAMPA,MED_GPS,-76.16259103500,-12.61530772200,7/14/2016,,3462,-12.615307722-76.162591035
736406,20686 SAN MARTIN,127871,AUCAMPI,MED_GPS,-76.02996405800,-12.58699024200,7/6/2016,,2753,-12.586990242-76.029964058
736326,20749 SAN FRANCISCO DE ASIS,114171,AUCO,MED_GPS,-75.95732203800,-12.58300754600,7/6/2016,,2206,-12.583007546-75.957322038
363449,SAN JERONIMO,124691,OMAS,MED_GPS,-76.29178579400,-12.51922210100,7/13/2016,,1542,-12.519222101-76.291785794
362237,CEBA - SANTO DOMINGO,131634,YAUYOS,MED_GPS,-75.92023927900,-12.45992251700,7/7/2016,,2888,-12.459922517-75.920239279
026689,86514,115045,CUMPAYHUARA,MED_GPS,-77.82355997400,-9.04272871600,6/2/2016,,2246,-9.042728716-77.823559974
026707,86519,130084,PAKIAN,MED_GPS,-77.76643223000,-9.03409335800,5/28/2016,,2797,-9.034093358-77.76643223
026806,86847,120049,HUAUYA,MED_GPS,-77.77702904700,-9.03104982700,5/28/2016,,2668,-9.031049827-77.777029047
026811,86848,549628,MIRAMAR,MED_GPS,-77.79137216700,-9.01587724800,6/2/2016,,3196,-9.015877248-77.791372167
528025,86490 RAMON CASTILLA MARQUEZADO,118835,YACUP,MED_GPS,-77.90295141800,-8.88579862800,5/26/2016,,3004,-8.885798628-77.902951418
028301,86897 JUAN VELASCO ALVARADO,129060,SECSI,MED_GPS,-77.77163429900,-8.76760932100,5/27/2016,,2926,-8.767609321-77.771634299
028297,86801 DANIEL ALCIDES CARRION,573338,KIMAN AYLLU,MED_GPS,-77.88856551200,-8.73432501100,6/3/2016,,1843,-8.734325011-77.888565512
796202,1369,557514,ALMIRANTE MIGUEL GRAU,MED_GPS,-80.63605007700,-5.20810220700,8/24/2016,,34,-5.208102207-80.636050077
796198,1368,566177,6 DE SETIEMBRE,MED_GPS,-80.63187753900,-5.20661708000,8/24/2016,,32,-5.20661708-80.631877539
796688,1408,682726,LOS POLVORINES,MED_GPS,-80.65178804900,-5.20656236400,8/20/2016,,29,-5.206562364-80.651788049
796565,1396,557514,ALMIRANTE MIGUEL GRAU,MED_GPS,-80.63424724700,-5.20640315600,8/17/2016,,35,-5.206403156-80.634247247
796424,1391,651816,SUSANA HIGUSHI DE FUJIMORI,MED_GPS,-80.64658788900,-5.20473209600,8/24/2016,,28,-5.204732096-80.646587889
796400,1389,563879,18 DE MAYO,MED_GPS,-80.63333605500,-5.20452369300,8/24/2016,,32,-5.204523693-80.633336055
796382,1387,554998,QUINTA JULIA,MED_GPS,-80.63111634700,-5.20439032000,8/24/2016,,31,-5.20439032-80.631116347
796264,1375,682726,LOS POLVORINES,MED_GPS,-80.65143461400,-5.20439917500,8/20/2016,,31,-5.204399175-80.651434614
796358,1384,570619,VICTOR RAUL HAYA DE LA TORRE,MED_GPS,-80.63850460000,-5.20316700800,8/17/2016,,33,-5.203167008-80.6385046
637449,MI DULCE DIVINO NI├æO,552697,SAN PEDRO,MED_GPS,-80.64282645300,-5.20228925800,8/22/2016,,35,-5.202289258-80.642826453
410115,225,555089,LOS TITANES,MED_GPS,-80.63262060600,-5.20121139600,8/17/2016,,30,-5.201211396-80.632620606
796570,1397,557730,31 DE ENERO,MED_GPS,-80.64803925700,-5.20079410700,8/24/2016,,32,-5.200794107-80.648039257
796221,1371,562759,TUPAC AMARU I ETAPA,MED_GPS,-80.65850045400,-5.19861877100,8/24/2016,,32,-5.198618771-80.658500454
796419,1390,552697,SAN PEDRO,MED_GPS,-80.64158608800,-5.19845107400,8/24/2016,,37,-5.198451074-80.641586088
623701,CORAZON DE GUADALUPE,558234,IGNACIO MERINO,MED_GPS,-80.64873580500,-5.19765358600,8/31/2016,,31,-5.197653586-80.648735805
796278,1376,558234,IGNACIO MERINO,MED_GPS,-80.64799976100,-5.19717009800,8/19/2016,,33,-5.197170098-80.647999761
796589,1398,552604,ENRIQUE LOPEZ ALBUJAR,MED_GPS,-80.64940429900,-5.19627980900,8/19/2016,,35,-5.196279809-80.649404299
796283,1377,558234,IGNACIO MERINO,MED_GPS,-80.64776852500,-5.19597132100,8/19/2016,,37,-5.195971321-80.647768525
752482,EL TRIUNFO,117723,PIURA,MED_GPS,-80.62651965000,-5.19250901500,8/22/2016,,35,-5.192509015-80.62651965
796650,1405,683170,NUEVA ESPERANZA,MED_GPS,-80.67196628900,-5.18966543700,8/24/2016,,37,-5.189665437-80.671966289
765564,1333,651818,VILLA PERU CANADA,MED_GPS,-80.67725138700,-5.18942119100,8/24/2016,,35,-5.189421191-80.677251387
796631,1403,683170,NUEVA ESPERANZA,MED_GPS,-80.67251029800,-5.18810702000,8/24/2016,,37,-5.18810702-80.672510298
801576,SAN JUDAS TADEO,683171,LAS MERCEDES,MED_GPS,-80.65031051500,-5.18761023900,8/28/2016,,38,-5.187610239-80.650310515
796645,1404,683170,NUEVA ESPERANZA,MED_GPS,-80.67797110400,-5.18654388900,8/24/2016,,37,-5.186543889-80.677971104
796315,1380,682668,SAN SEBASTIAN,MED_GPS,-80.67916410000,-5.18095199200,8/24/2016,,39,-5.180951992-80.6791641
796438,1392,562505,LAS CAPULLANAS,MED_GPS,-80.67241852500,-5.18058939300,8/20/2016,,40,-5.180589393-80.672418525
660005,1028,651817,VILLA CIUDAD DEL SOL,MED_GPS,-80.68643208500,-5.17775138600,8/31/2016,,34,-5.177751386-80.686432085
796377,1386,552731,MICAELA BASTIDAS,MED_GPS,-80.68801686500,-5.17528249000,8/20/2016,,34,-5.17528249-80.688016865
742676,ESCUELITA MI JESUS,552731,MICAELA BASTIDAS,MED_GPS,-80.68200489100,-5.17497644600,9/1/2016,,37,-5.174976446-80.682004891
796344,1383,683173,VILLA HERMOSA,MED_GPS,-80.68957634400,-5.17471152100,8/20/2016,,34,-5.174711521-80.689576344
801595,DIAS FELICES,569895,LOS GERANIOS,MED_GPS,-80.62971772500,-5.17184242000,8/27/2016,,36,-5.17184242-80.629717725
796457,1394,683175,JUAN VALER,MED_GPS,-80.65496118700,-5.17085070100,8/23/2016,,38,-5.170850701-80.654961187
796301,1379,559405,LOS ALGARROBOS,MED_GPS,-80.65108597700,-5.17049396100,8/25/2016,,46,-5.170493961-80.651085977
755782,SAN JOSE,683174,SANTA MARGARITA,MED_GPS,-80.65778362100,-5.16913160200,8/27/2016,,44,-5.169131602-80.657783621
796320,1381,651812,NESTOR MARTOS GARRIDO,MED_GPS,-80.65636080800,-5.16890919500,8/23/2016,,44,-5.168909195-80.656360808
796235,1372,683176,LOS CLAVELES,MED_GPS,-80.65785499600,-5.16727712500,8/28/2016,,43,-5.167277125-80.657854996
796297,1378,683177,VILLA JARDIN,MED_GPS,-80.65570825400,-5.16424270100,8/23/2016,,37,-5.164242701-80.655708254
796669,1406,567279,LA NUEVA PROVIDENCIA,MED_GPS,-80.63250583300,-5.16404062400,8/27/2016,,38,-5.164040624-80.632505833
796443,1393,651809,LOS OLIVOS,MED_GPS,-80.65212516200,-5.16271914100,8/23/2016,,43,-5.162719141-80.652125162
796339,1382,682727,LAS DALIAS,MED_GPS,-80.66191698100,-5.16250188700,8/28/2016,,45,-5.162501887-80.661916981
796259,1374,651806,LA MOLINA,MED_GPS,-80.65755837100,-5.16180026400,8/23/2016,,41,-5.161800264-80.657558371
796674,1407,651806,LA MOLINA,MED_GPS,-80.65907086300,-5.15964712500,8/23/2016,,43,-5.159647125-80.659070863
748131,VIRGEN DE GUADALUPE,682727,LAS DALIAS,MED_GPS,-80.66824093900,-5.15947105000,8/28/2016,,43,-5.15947105-80.668240939
796594,1399,683178,MONICA ZAPATA,MED_GPS,-80.64981476000,-5.15874649600,8/23/2016,,45,-5.158746496-80.64981476
