324,Mesapata,-76.54975167,-9.901736667
325,Curanjo,-70.88746138,-9.89766866
326,Panao,-75.99429652,-9.89747595
327,San Jose de Yarowilca,-76.56011786,-9.89740021
328,Agosejircan,-76.61462477,-9.89736665
329,Huanin,-76.04104151,-9.89720512
330,8 Cruz Pata,-76.64344578,-9.89712128
331,Quillapampa,-76.64959833,-9.913318333
332,Huayopampa,-75.99660914,-9.89685753
333,Puca Puca / Garu,-76.60076008,-9.89683298
334,Nazaret,-74.16629102,-9.8966699
335,Pampa Cocha,-76.26192379,-9.899217161
336,Pucapiteg,-76.7031699,-9.89653227
337,Chaynas,-76.62467191,-9.89615859
338,Pulpulyag,-76.7813523,-9.89596506
339,Fundo El Arenal,-76.22673177,-9.89595041
340,Las Golondrinas,-75.17927633,-9.89475903
341,Callancas,-76.470295,-9.887115
342,Mito,-76.4308234,-9.89458302
343,San Cristobal,-76.61433164,-9.89452765
344,Canchapitec,-76.54100339,-9.89425202
345,Garbanzo Cancha,-77.3517774,-9.88220328
346,Pucacocha,-76.84683265,-9.88218103
347,El Molino,-78.11425787,-9.88159711
348,Yantarajra / Yantaragra,-76.78341102,-9.88211328
349,Huacoto,-76.91342127,-9.87619752
350,Aceitio,-76.26493365,-9.87616402
351,Huachua / Chacuantano,-76.97191627,-9.77550815
352,Escorzonera,-76.89873,-9.781031667
353,Santo Campo,-77.60431815,-9.77522403
354,San Juan de Miraflores,-76.65386667,-9.77491
355,Marayoc,-77.1156399,-9.56287415
356,San Jose de Tashga,-76.58125914,-9.89423096
357,Comuhuanca,-77.68423716,-9.89411715
358,Gogan Ucho,-76.51021289,-9.89406753
359,Mercedes,-76.9758374,-9.89390453
360,San Cristobal,-75.01955667,-9.857953333
361,Yuracyacu,-76.32779515,-9.89383528
362,Mina Santon,-77.21945264,-9.89377628
363,Pucapampa,-76.70304977,-9.89367115
364,Huanshu,-76.26850347,-9.896338976
365,Chaupijirca,-76.7637554,-9.89324915
366,Chuchos,-76.43637678,-9.89310128
367,Condorhuayin,-76.72966953,-9.89309189
368,Agopampa,-76.93046003,-9.89308728
369,Huancacha,-76.75258616,-9.89302915
370,Putaca A,-76.89823916,-9.89291378
371,Purupampa,-75.98445473,-9.89286929
372,Gorimina,-76.69645116,-9.89285077
373,Ceresayoc,-76.18156501,-9.89272115
374,Marcocancha,-76.57782078,-9.8925834
375,Jatunrumi,-76.59388903,-9.89244177
376,Anascancha,-77.31265064,-9.8923034
377,Quelquey,-77.32046027,-9.89220403
378,Jatun Ragra,-76.54468833,-9.889343333
379,Incachaca,-76.03640914,-9.89192765
380,Unamaran,-76.24555364,-9.898180169
381,Marpo,-76.63314765,-9.89191328
382,Shuclash,-76.50112515,-9.89188552
383,Monte Azul,-76.45128003,-9.89182777
384,Rucrup,-77.69221577,-9.89176328
385,Ogocatac,-76.61490665,-9.89155016
386,Ogopampa,-76.61679427,-9.89154678
387,Quilcayhuarin,-76.55822706,-9.89147869
388,Sogocucho,-76.81294077,-9.89147727
389,Champash,-77.69146303,-9.88871566
390,Chinchamayo,-75.98394903,-9.88856315
391,Huachag Grande,-76.8129929,-9.88847253
392,Chiparajra,-76.5441804,-9.8884309
393,Mitocucho,-76.43238812,-9.88834279
394,Lacsha,-77.11762999,-9.894939978
395,Cashamachay,-76.73523453,-9.88813427
396,San Lucas de Mesapampa,-76.58795971,-9.8876869
397,Alto Huipus,-75.36194371,-9.89269732
398,Minaragra,-76.741805,-9.977143333
399,Tingo,-76.4910344,-9.88713815
400,Huaychao Corral,-76.5098,-9.904238333
401,Chunapampa,-76.22374577,-9.8870149
402,Rachacoco,-77.40083151,-9.90826153
403,Cashacorona,-76.1771694,-9.9081929
404,?�aupa Marca,-76.41027833,-9.911876667
405,Cashapampa,-76.66508613,-9.90781721
406,Simon Pampa,-76.80510115,-9.90781378
407,Chinchan,-76.33608638,-9.86678903
408,Tinco,-76.69039315,-9.8667159
409,Rinconada,-75.61347652,-9.86666015
410,Mama Machay,-76.64889114,-9.86646365
411,Llama Rumi,-76.52511727,-9.86638728
412,Taulle,-76.44674752,-9.86638365
413,Verbenapampa,-76.08530526,-9.86609973
414,Puerta Golpe,-78.0879214,-9.8660239
415,Gredapata,-76.74742865,-9.87989153
416,Isoc,-77.71595065,-9.87961703
417,Senquer,-77.71157453,-9.8795359
418,Millpu,-76.84387602,-9.8794279
419,Cuchus,-77.31852352,-9.87941666
420,Huinritiro,-76.9184619,-9.87923915
421,Mishqui Ragran,-76.62306333,-9.883015
422,Mina Gumercinda,-77.22113627,-9.87900591
423,San Juan de Miraflores,-76.63046445,-9.90517261
424,Huariaco,-76.47259703,-9.90514677
425,Huacahuain Grande,-76.86848028,-9.90485015
426,Huacho,-76.67746214,-9.90480015
427,San Gregorio,-73.05674752,-9.9047519
428,Huancapallac,-76.39209314,-9.90475157
429,Santa Teresa,-75.38463652,-10.01654793
430,Cuchimachay,-76.52851278,-9.90467427
431,Huayup,-77.81894913,-9.90706008
432,Cuyogpampa,-76.76794953,-9.90444728
433,Mariapata,-76.39314427,-9.90436702
434,Juytucancha,-76.6049684,-9.9043214
435,Huasparon,-77.74602878,-9.90418203
436,Chincho Alto / Chincho Palca,-76.46777102,-9.90412815
437,Angel Monte,-78.15148164,-9.90408866
438,Jatunhogo,-76.75486177,-9.9039654
439,San Pedro de Longui,-75.13286833,-9.855376667
440,Pillcocancha,-76.59842518,-9.87670368
441,Cuncayoc,-76.5936484,-9.8763379
442,Santo Toribio La Punta,-76.03016873,-9.87621577
443,Jircahuain,-76.73888014,-9.89859365
444,Bellavista,-76.26163002,-9.8985674
445,Chuna,-76.15384553,-9.89848865
446,Marpopampa,-76.62435833,-9.89522
447,Capiash,-77.10721,-9.90827
448,Pucara,-76.65693164,-9.89803077
449,Huaman,-75.95973158,-9.87620407
450,Piliaco,-76.75726676,-9.88907215
451,Chogorangran,-76.61510365,-9.88903727
452,Tambo,-77.79894453,-9.79209228
453,Tinyayoc,-76.79470665,-9.79194915
454,Inapucro / Loyaccanchi,-77.5143679,-9.60691715
455,Taurijirca,-76.68059615,-9.60690478
456,Rumichaca,-76.61756816,-9.6067319
457,Linda,-76.72101328,-9.60650665
458,San Pedro,-77.50822499,-9.60647173
459,Hidrogpampa,-75.87703467,-9.60728794
460,Tauranca,-77.43576627,-9.60630553
461,Mata Rumi,-77.7671334,-9.60622465
462,Anjamache,-77.88272365,-9.60592078
463,Illkeda,-77.74662516,-9.60586678
464,Pincuran,-76.77455415,-9.60572402
465,Papahuain / Papahuayi,-76.65920002,-9.60567728
466,Tallaragra,-76.78964478,-9.60559165
