UBIGEO,DEP,PROV,DIST,CODCP,NOMCP,MNOMCP,CAPITAL,CON_IE,NIVEL,CPINEI,CPINEI2,CPINEI_BKP,FUENTE_G,Z,XGD,YGD,Y_X_COORD
020508,ANCASH,BOLOGNESI,HUALLANCA,119911,Cashapata,CASHAPATA,0,0,,0205080159,,0205080159,IGN,3762,-76.89347691000,-9.85738728000,-9.85738727999995-76.8934769099999
100109,HUANUCO,HUANUCO,SANTA MARIA DEL VALLE,512350,Libertad De Santa Ana,LIBERTAD DE SANTA ANA,0,1,IP,1001060003,,1001060003,MED-GPS,3793,-76.41701346000,-9.79110654000,-9.79110653999993-76.41701346
020504,ANCASH,BOLOGNESI,AQUIA,111391,Pampacancha,PAMPACANCHA,0,0,,,,,IGN,4492,-77.14082165000,-9.85725640000,-9.85725639999993-77.14082165
100109,HUANUCO,HUANUCO,SANTA MARIA DEL VALLE,534092,Mayorgo,MAYORGO,0,0,,,,,IGN,1839,-76.16562889000,-9.85718028000,-9.85718027999997-76.1656288899999
100106,HUANUCO,HUANUCO,QUISQUI (KICHKI),221923,Casacancha,CASACANCHA,0,0,,1001060007,,1001060007,IGN,3500,-76.40719265000,-9.85696516000,-9.85696515999996-76.40719265
020205,ANCASH,AIJA,SUCCHA,618893,Pancam,PANCAM,0,0,,,,,INEI,4364,-77.61746677000,-9.85694140000,-9.85694139999993-77.61746677
101101,HUANUCO,YAROWILCA,CHAVINILLO,610582,Antarragra,ANTARRAGRA,0,0,,1011010067,,1011010067,INEI,3661,-76.55112000000,-9.84620333300,-9.84620333299995-76.55112
101102,HUANUCO,YAROWILCA,CAHUAC,549116,Urraga,URRAGA,0,0,,,,,IGN,3502,-76.63395852000,-9.85677790000,-9.85677789999994-76.63395852
100109,HUANUCO,HUANUCO,SANTA MARIA DEL VALLE,531219,Huanquilla,HUANQUILLA,0,1,G,1001090065,,1001090065,IGN,1981,-76.20592752000,-9.85677403000,-9.85677402999994-76.20592752
020508,ANCASH,BOLOGNESI,HUALLANCA,127051,Shiripata,SHIRIPATA,0,0,,0205080144,,0205080144,IGN,4066,-76.92385140000,-9.85676165000,-9.85676164999995-76.9238514
101105,HUANUCO,YAROWILCA,JACAS CHICO,222527,Jallan / Galan,JALLAN / GALAN,0,0,,1011050004,,1011050004,IGN,3765,-76.52105665000,-9.85666578000,-9.85666577999996-76.5210566499999
021103,ANCASH,HUARMEY,CULEBRAS,121646,Santa Rosa,SANTA ROSA,0,0,,0211030010,,0211030010,IGN,244,-78.08165589000,-9.85656390000,-9.85656389999997-78.08165589
100109,HUANUCO,HUANUCO,SANTA MARIA DEL VALLE,549901,Yanayacu,YANAYACU,0,1,IP,1001010060,,1001010060,MED-GPS,2269,-76.32381818000,-9.86009075000,-9.86009074999993-76.32381818
250401,UCAYALI,PURUS,PURUS,621821,Fundo Yolanda,FUNDO YOLANDA,0,0,,,,,INEI,256,-70.87935938000,-9.86007227000,-9.86007226999993-70.87935938
100109,HUANUCO,HUANUCO,SANTA MARIA DEL VALLE,546183,Pacaypampa,PACAYPAMPA,0,1,G,1001090070,,1001090070,MED-GPS,1864,-76.15905199000,-9.86001076000,-9.86001075999997-76.15905199
100301,HUANUCO,DOS DE MAYO,LA UNION,225034,Colpa,COLPA,0,1,GP,1003010013,,1003010013,MED-GPS,3300,-76.85027421000,-9.85994280000,-9.85994279999994-76.85027421
021702,ANCASH,RECUAY,CATAC,616819,Tantash,TANTASH,0,0,,0217020044,,0217020044,INEI,4681,-77.19795000000,-9.88571000000,-9.88570999999996-77.1979499999999
100109,HUANUCO,HUANUCO,SANTA MARIA DEL VALLE,510329,Casha,CASHA,0,1,GP,1001090075,,1001090075,MED-GPS,1930,-76.14911011000,-9.85959262000,-9.85959261999994-76.14911011
101102,HUANUCO,YAROWILCA,CAHUAC,236946,Pumaucro,PUMAUCRO,0,0,,1011020008,,1011020008,IGN,3747,-76.64356828000,-9.85957166000,-9.85957165999997-76.64356828
